"CID","G","GS","RA","W","SVO","L","BS","SV","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","DP","HP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"61917",2,1,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61946",16,8,8,4,0,2,0,0,1,1,0,288,273,70.3333333333333,53,16,2,74,103,3,32,30,1,11,27,0,2,0,6,2,6,0,81,90,7,4,211,10,3.83886255924171,1.19431279620853,3.33683484907814,3.45497630331754,1.40758293838863,0.383886255924171,9.46919431279621,4.09478672985782,0.271062271062271,0.298611111111111,0.377289377289377,0.675900488400488,0.289795918367347,0.288239331206332,0.09375,0.0347222222222222,0.0104166666666667,0.850694444444444,0.184027777777778,0.0555555555555556,0.00694444444444444,24.90625,0.679300294229203,0.0272742903580107,0.213143528353343,0.370040847835664
"61966",59,45,14,12,4,14,1,3,3,4,3,1129,1018,264.333333333333,180,50,10,266,414,26,130,120,2,85,170,4,10,7,18,12,5,4,309,272,24,16,793,83,4.08575031525851,1.3203026481715,4.05799093640624,5.78814627994956,2.89407313997478,0.885245901639344,9.05674653215637,4.42622950819672,0.261296660117878,0.319751992914083,0.406679764243615,0.726431757157698,0.288461538461538,0.310572768045902,0.150575730735164,0.0735163861824624,0.0230292294065545,0.740478299379982,0.159433126660762,0.0442869796279894,0.00885739592559787,24.9322033898305,0.347857515890302,0.013952136939176,0.409779429361723,0.181478932401118
"61974",39,24,15,5,2,11,1,1,1,3,1,694,604,150.333333333333,104,43,1,177,309,29,116,109,0,79,102,2,5,5,10,4,7,4,142,180,14,13,451,79,6.52549889135255,1.70288248337029,5.85083743417077,6.10643015521064,4.72949002217295,1.73614190687361,10.5964523281596,6.94456762749446,0.293046357615894,0.37463976945245,0.51158940397351,0.88622917342596,0.309623430962343,0.372430636195522,0.146974063400576,0.113832853025937,0.0417867435158501,0.69164265129683,0.14985590778098,0.0619596541786743,0.00144092219020173,26.4487179487179,-2.17048060340743,-0.0820637358535045,-1.37076832851595,-0.98758525109218
"61975",44,23,21,9,2,8,0,2,2,6,0,797,685,185.666666666667,126,32,2,168,228,8,92,81,0,97,135,3,6,12,17,6,17,6,174,209,11,12,557,97,3.92639138240575,1.42728904847397,3.79681425806501,6.54398563734291,4.70197486535009,0.387791741472172,8.14362657091562,4.45960502692998,0.245255474452555,0.340025094102886,0.332846715328467,0.672871809431353,0.291970802919708,0.300166485658165,0.169385194479297,0.121706398996236,0.0100376411543287,0.691342534504391,0.158092848180678,0.0401505646173149,0.00250941028858218,25.2386363636364,0.314481997157041,0.0124603402745698,0.257052204923533,0.161262361934463
"62066",6,0,6,0,0,0,0,0,0,1,0,43,37,9.33333333333333,6,2,0,10,18,2,4,3,0,4,5,0,1,0,1,1,5,3,11,11,1,0,28,4,2.89285714285714,1.5,6.12356470689804,4.82142857142857,3.85714285714286,1.92857142857143,9.64285714285714,3.85714285714286,0.27027027027027,0.348837209302326,0.486486486486487,0.835323695788812,0.258064516129032,0.348758144916404,0.116279069767442,0.0930232558139535,0.0465116279069767,0.720930232558139,0.13953488372093,0.0465116279069767,0,28.1666666666667,0.916944166944167,0.0325542307790829,0.03375994303016,0.392557477094884
"62074",2,2,0,1,0,1,0,0,0,0,0,46,42,10.3333333333333,6,5,0,13,24,2,6,6,0,4,7,0,0,0,0,0,0,0,12,10,3,2,31,4,5.2258064516129,1.64516129032258,5.44614535205933,6.09677419354839,3.48387096774194,1.74193548387097,11.3225806451613,5.2258064516129,0.30952380952381,0.369565217391304,0.571428571428571,0.940993788819876,0.333333333333333,0.389573070904642,0.152173913043478,0.0869565217391304,0.0434782608695652,0.717391304347826,0.130434782608696,0.108695652173913,0,24.5,-0.451719427525878,-0.0184375276541175,-0.0211690132325053,-0.230097969918536
"62075",9,7,2,1,0,3,0,0,0,0,0,192,177,45.3333333333333,35,12,0,52,79,5,21,17,0,11,26,0,3,1,4,1,1,1,40,58,7,6,136,11,3.375,1.38970588235294,4.13827058925098,5.16176470588235,2.18382352941176,0.992647058823529,10.3235294117647,4.16911764705882,0.293785310734463,0.333333333333333,0.446327683615819,0.779661016949152,0.315436241610738,0.328113068899852,0.135416666666667,0.0572916666666667,0.0260416666666667,0.776041666666667,0.182291666666667,0.0625,0,24.1944444444444,0.6049693770282,0.0250044748255054,0.125948465787731,0.327990796322216
"62077",82,0,82,2,28,11,4,24,33,14,13,361,312,82.3333333333333,58,13,1,79,115,7,42,40,1,46,76,1,1,6,9,1,21,5,78,75,4,7,247,45,4.37246963562753,1.50607287449393,4.02235013199926,8.30769230769231,5.02834008097166,0.765182186234818,8.63562753036437,4.59109311740891,0.253205128205128,0.346260387811634,0.368589743589744,0.714850131401378,0.31304347826087,0.3150691174233,0.210526315789474,0.124653739612188,0.0193905817174515,0.6398891966759,0.160664819944598,0.03601108033241,0.00277008310249307,28.8780487804878,0.182993906678116,0.00633678224138747,0.0579698227267669,0.080290613194968
"62079",23,4,19,2,3,1,1,1,1,2,1,213,174,47,33,9,2,45,61,1,25,25,2,34,38,1,1,1,4,3,15,3,42,51,3,2,141,32,4.78723404255319,1.63829787234043,3.82569236647251,7.27659574468085,6.51063829787234,0.191489361702128,8.61702127659574,4.78723404255319,0.258620689655172,0.375586854460094,0.350574712643678,0.726161567103772,0.323529411764706,0.32807744028928,0.178403755868545,0.150234741784038,0.00469483568075117,0.643192488262911,0.154929577464789,0.0422535211267606,0.00938967136150235,27.75,-0.0131470184661673,-0.000473766431213235,-0.00247411358522467,-0.005807778369072
