"CID","G","GS","RA","W","SVO","BS","SV","L","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","HP","DP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"72328",322,0,322,18,52,13,38,21,75,58,50,1579,1433,358.333333333333,255,90,12,394,619,37,202,181,7,105,262,7,13,15,21,25,126,54,411,362,6,4,1075,98,4.54604651162791,1.37302325581395,4.03374410701157,6.58046511627907,2.63720930232558,0.929302325581395,9.89581395348837,5.07348837209302,0.274947662247034,0.324889170360988,0.431960921144452,0.75685009150544,0.311246730601569,0.329468524116546,0.165927802406586,0.0620645978467384,0.0234325522482584,0.730842305256491,0.161494616846105,0.0569981000633312,0.00759974667511083,28.8012422360248,-0.586524325993778,-0.0203645495977999,-0.810810771023516,-0.256748185884584
"72331",79,17,62,6,11,4,5,10,17,19,5,778,687,180.666666666667,102,35,1,165,283,27,100,91,0,68,173,6,10,7,7,7,47,15,146,207,4,2,542,68,4.53321033210332,1.28966789667897,4.49010555899818,8.61808118081181,3.38745387453875,1.3450184501845,8.21955719557196,4.98154981549816,0.240174672489083,0.308483290488432,0.41193595342067,0.720419243909102,0.277665995975855,0.313904754159346,0.222365038560411,0.0874035989717224,0.0347043701799486,0.646529562982005,0.131105398457584,0.044987146529563,0.0012853470437018,27.5189873417722,-0.49458576939891,-0.017972527958838,-0.360781857544082,-0.231864947007765
"72345",57,10,47,6,4,3,1,3,14,7,5,524,475,126,74,23,1,110,171,12,52,39,0,38,133,4,1,7,6,7,35,9,106,123,2,1,378,38,2.78571428571429,1.17460317460317,3.36502502247853,9.5,2.71428571428571,0.857142857142857,7.85714285714286,3.71428571428571,0.231578947368421,0.293893129770992,0.36,0.653893129770992,0.29607250755287,0.290657018548514,0.25381679389313,0.0725190839694656,0.0229007633587786,0.639312977099237,0.141221374045802,0.0438931297709924,0.00190839694656489,27.3684210526316,0.772678331813532,0.0282324775085714,0.395254685119999,0.377151417099236
"72347",7,0,7,1,2,0,2,1,1,1,1,29,28,6.66666666666667,6,2,0,8,10,0,4,4,0,1,7,0,0,0,0,0,1,0,7,6,0,0,20,1,5.4,1.35,1.6832789907325,9.45,1.35,0,10.8,5.4,0.285714285714286,0.310344827586207,0.357142857142857,0.667487684729064,0.380952380952381,0.295142155873958,0.241379310344828,0.0344827586206897,0,0.724137931034483,0.206896551724138,0.0689655172413793,0,29,-0.913035953900755,-0.0314839984103708,-0.0233214803039784,-0.402094487999628
"72348",6,0,6,0,0,0,0,0,1,0,0,29,26,6.66666666666667,3,2,0,6,11,1,2,2,0,3,11,0,0,0,0,0,4,1,4,5,0,0,20,3,2.7,1.35,3.3332789907325,14.85,4.05,1.35,8.1,2.7,0.230769230769231,0.310344827586207,0.423076923076923,0.73342175066313,0.357142857142857,0.318832283164491,0.379310344827586,0.103448275862069,0.0344827586206897,0.482758620689655,0.103448275862069,0.0689655172413793,0,28.5833333333333,1.78696404609925,0.0625176925749007,0.0463094019073339,0.798437963919549
"72349",61,3,58,9,5,0,5,9,25,8,5,457,409,112,61,15,1,89,142,12,45,45,2,36,85,3,2,5,6,12,37,2,111,126,3,0,336,34,3.61607142857143,1.09821428571429,4.11899327644678,6.83035714285714,2.89285714285714,0.964285714285714,7.15178571428571,3.61607142857143,0.21760391198044,0.282275711159737,0.34718826405868,0.629463975218417,0.245222929936306,0.281021811726639,0.185995623632385,0.074398249452954,0.0262582056892779,0.695842450765864,0.133479212253829,0.0328227571115974,0.00218818380743982,27.7991803278689,0.870892617527817,0.0313279962666648,0.389859509096273,0.426542132490452
"72363",82,3,79,7,8,4,4,5,27,15,10,609,544,142.333333333333,79,38,3,133,216,13,64,59,2,52,118,0,5,7,8,9,38,14,122,171,3,1,427,50,3.73067915690866,1.28571428571429,3.9164171640346,7.46135831381733,3.28805620608899,0.822014051522248,8.40983606557377,4.04683840749414,0.244485294117647,0.313628899835796,0.397058823529412,0.710687723365208,0.287081339712919,0.311889301351388,0.19376026272578,0.0821018062397373,0.0213464696223317,0.686371100164204,0.129720853858785,0.0623973727422003,0.00492610837438424,27.9817073170732,0.440125638605101,0.0157290487538106,0.248751993254708,0.204229879519464
"72367",556,97,459,95,51,28,20,50,132,74,40,5002,4516,1188,750,200,24,1102,1734,128,534,497,16,366,1192,29,26,34,62,84,254,80,990,1246,17,5,3564,350,3.76515151515152,1.22222222222222,3.61105676851027,9.03030303030303,2.77272727272727,0.96969696969697,8.34848484848485,4.04545454545455,0.244021257750221,0.302678928428629,0.383968113374668,0.686647041803296,0.302296710117939,0.302864784199617,0.238304678128749,0.0699720111955218,0.0255897640943623,0.650539784086365,0.149940023990404,0.039984006397441,0.00479808076769292,27.5152877697842,0.4415095006447,0.016045970674148,2.11806812898754,0.211722124049134
"72368",67,15,52,14,1,0,1,4,15,6,2,644,584,149.333333333333,102,21,3,150,249,24,72,67,0,47,140,5,5,6,3,7,42,13,140,159,10,1,448,47,4.03794642857143,1.31919642857143,4.49176113358964,8.4375,2.83258928571429,1.44642857142857,9.04017857142857,4.33928571428571,0.256849315068493,0.31055900621118,0.426369863013699,0.736928869224879,0.296470588235294,0.319655835753235,0.217391304347826,0.0729813664596273,0.0372670807453416,0.667701863354037,0.158385093167702,0.0326086956521739,0.0046583850931677,27.4626865671642,0.147678331813532,0.00537741751712318,0.0892252980618958,0.0692742997374967
"72370",37,3,34,7,3,2,1,3,8,5,2,275,247,67.6666666666667,33,11,2,56,101,10,23,20,2,22,66,2,3,2,1,4,19,7,56,72,3,2,203,20,2.66009852216749,1.12315270935961,4.19042184787535,8.77832512315271,2.92610837438424,1.33004926108374,7.44827586206897,3.05911330049261,0.226720647773279,0.28,0.408906882591093,0.688906882591093,0.264367816091954,0.297698817669061,0.24,0.0727272727272727,0.0363636363636364,0.64,0.12,0.04,0.00727272727272727,27.722972972973,1.42785074560663,0.0515042433219064,0.387235607198037,0.704064740360067
"72371",29,0,29,3,5,3,2,3,8,7,5,144,131,32.3333333333333,21,6,1,36,68,8,20,18,1,10,33,0,2,3,1,0,16,10,22,39,0,0,97,9,5.01030927835051,1.39175257731959,5.34358826908301,9.18556701030928,2.78350515463917,2.22680412371134,10.020618556701,5.56701030927835,0.274809160305344,0.319444444444444,0.519083969465649,0.838528413910093,0.304347826086957,0.352803319128588,0.229166666666667,0.0625,0.0555555555555556,0.638888888888889,0.145833333333333,0.0416666666666667,0.00694444444444444,28.8448275862069,-1.0800462631791,-0.0374433253224077,-0.134518613195316,-0.467078518039293
"72373",165,0,165,10,66,11,55,16,58,29,20,731,648,168,122,25,0,166,248,19,80,67,6,66,141,5,6,6,6,16,38,6,172,167,4,2,504,60,3.58928571428571,1.3452380952381,4.19637422882774,7.55357142857143,3.53571428571429,1.01785714285714,8.89285714285714,4.28571428571429,0.256172839506173,0.317373461012312,0.382716049382716,0.700089510395028,0.297570850202429,0.311532139807676,0.192886456908345,0.0820793433652531,0.0259917920656635,0.682626538987688,0.166894664842681,0.0341997264021888,0,28.8363636363636,0.20124976038496,0.00697902699947844,0.130275170656931,0.0891075038693098
"72374",30,0,30,4,1,1,0,1,9,3,4,128,119,31.3333333333333,16,9,0,30,54,5,12,12,1,8,29,1,0,4,0,4,12,6,34,27,0,0,94,7,3.4468085106383,1.18085106382979,4.22689601200909,8.32978723404255,2.29787234042553,1.43617021276596,8.61702127659574,3.4468085106383,0.252100840336134,0.2890625,0.453781512605042,0.742844012605042,0.294117647058824,0.318717944767992,0.2265625,0.0546875,0.0390625,0.671875,0.125,0.0703125,0,28.7333333333333,1.04015553546095,0.0362003086587337,0.126030704219295,0.492307438356621
