"CID","G","GS","RA","W","SVO","L","BS","SV","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","DP","HP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"61846",83,36,47,17,21,20,7,13,14,13,0,1193,1097,277,201,52,7,306,510,46,150,136,2,84,196,1,5,4,25,6,18,8,293,292,15,17,831,82,4.4187725631769,1.40072202166065,4.71038195916394,6.36823104693141,2.72924187725632,1.49458483754513,9.94223826714801,4.87364620938628,0.27894257064722,0.330259849119866,0.464904284412033,0.795164133531899,0.302325581395349,0.344042775446173,0.164291701592624,0.0687342833193629,0.038558256496228,0.721709974853311,0.16848281642917,0.0435875943000838,0.00586756077116513,26.3493975903614,0.173488978116241,0.00658417246623138,0.202646197016232,0.0849313482884461
"61848",126,34,92,13,20,17,5,15,26,19,10,1251,1071,279,191,43,2,279,455,43,167,157,2,160,204,5,9,6,25,6,35,9,265,321,29,16,837,158,5.06451612903226,1.5663082437276,5.31875637527097,6.58064516129032,5.16129032258065,1.38709677419355,9,5.38709677419355,0.260504201680672,0.354116706634692,0.42483660130719,0.778953307941882,0.283313325330132,0.345962498609415,0.163069544364508,0.126298960831335,0.0343725019984013,0.66986410871303,0.152677857713829,0.0343725019984013,0.00159872102318145,27.672619047619,-0.339961586691025,-0.0122851250944488,-0.380838877927911,-0.152213780147047
"61864",187,9,178,10,13,10,6,6,31,27,12,1208,1010,265.666666666667,168,46,10,261,438,37,156,153,4,174,237,4,7,11,21,13,120,41,250,269,23,11,797,170,5.1831869510665,1.62233375156838,5.02466068489083,8.02885821831869,5.89460476787955,1.2534504391468,8.84190715181932,5.28481806775408,0.258415841584158,0.367549668874172,0.433663366336634,0.801213035210806,0.301480484522207,0.356729689458609,0.196192052980132,0.140728476821192,0.0306291390728477,0.618377483443709,0.139072847682119,0.0380794701986755,0.00827814569536424,28.4946524064171,-0.237682880251555,-0.00834131530581603,-0.246223270323533,-0.101913605266363
"61865",300,13,287,26,35,17,15,19,76,49,43,1689,1494,389,262,71,5,395,647,57,210,196,11,171,266,0,10,17,36,14,176,55,461,371,13,17,1167,160,4.53470437017995,1.426735218509,4.84982123231643,6.15424164524422,3.95629820051414,1.31876606683805,9.13881748071979,4.8586118251928,0.264390896921017,0.336885731201895,0.433065595716198,0.769951326918093,0.286198137171888,0.338731134331713,0.15748963883955,0.0947306098283008,0.0337477797513321,0.699230313795145,0.155121373593843,0.0420367081113085,0.0029603315571344,28.58,0.188523362309721,0.00659633877920647,0.285108420567924,0.0844015454611972
"61866",124,0,124,9,34,10,12,22,40,32,17,678,600,153.333333333333,110,20,3,160,267,27,93,85,0,66,131,1,6,2,6,5,57,22,145,166,7,8,460,66,4.98913043478261,1.47391304347826,4.95035213653013,7.68913043478261,3.87391304347826,1.58478260869565,9.39130434782609,5.45869565217391,0.266666666666667,0.34070796460177,0.445,0.78570796460177,0.296875,0.34314463877156,0.193215339233038,0.0973451327433628,0.0398230088495575,0.662241887905605,0.162241887905605,0.0294985250737463,0.00442477876106195,28.7076612903226,-0.41156046467139,-0.0143362588999936,-0.244247373851744,-0.180123432044059
"61868",62,0,62,1,11,0,4,4,12,15,4,418,360,91.3333333333333,64,17,4,97,158,12,57,52,3,49,76,0,3,2,9,6,39,19,90,95,4,1,274,46,5.12408759124088,1.56569343065693,4.63335753164279,7.48905109489051,4.82846715328467,1.18248175182482,9.55839416058394,5.61678832116788,0.269444444444444,0.356459330143541,0.438888888888889,0.795348219032429,0.309090909090909,0.351578816421621,0.181818181818182,0.110047846889952,0.0287081339712919,0.657894736842105,0.15311004784689,0.0406698564593301,0.00956937799043062,28.4798387096774,-0.569653133665361,-0.0200019789252456,-0.202983045389529,-0.242802685872643
"61870",20,15,5,0,0,8,0,0,1,0,0,359,309,78.6666666666667,55,17,1,95,180,22,52,50,1,42,49,1,4,4,13,3,3,0,86,80,1,4,236,41,5.72033898305085,1.72881355932203,7.03200283660382,5.60593220338983,4.80508474576271,2.51694915254237,10.8686440677966,5.94915254237288,0.307443365695793,0.387186629526462,0.58252427184466,0.969710901371122,0.301652892561983,0.411148997119926,0.136490250696379,0.114206128133705,0.0612813370473538,0.676880222841226,0.153203342618384,0.0473537604456825,0.00278551532033426,26.05,-0.902017354870359,-0.034626385983507,-0.302660262670654,-0.42153239926275
"61877",731,188,543,112,73,99,30,41,156,105,94,7388,6760,1765.33333333333,1155,343,31,1757,2846,228,889,841,29,498,1195,19,61,41,122,50,279,87,1847,1970,133,106,5296,469,4.28757552870091,1.26095166163142,4.20078067981136,6.09233383685801,2.53889728096677,1.16238670694864,8.95751510574018,4.53228851963746,0.25991124260355,0.308067135896048,0.421005917159763,0.729073053055811,0.283253056687662,0.317780193955648,0.161748781808338,0.0634813210611803,0.0308608554412561,0.733216025988089,0.156334596643205,0.0464266377910124,0.0041959935029778,27.2896716826265,0.514846667865061,0.0188659898093544,3.70052896408671,0.250441862756274
"61898",16,22,182,73,0,72,1,0,0,5.5,0,0,0,0,40,40,11,10,5,4,7,5,19,13,19,0,-2.7,0,0,0,0,0,0,0,0,0,0,-6,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-0.233463035019455,-12.2152253264722,Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
"61901",940,681,259,192,50,250,19,29,61,49,31,16648,15069,3909.33333333333,2706,754,79,4050,6495,511,2056,1920,21,1254,2785,55,135,106,269,130,123,38,3888,4389,296,276,11728,1233,4.42019099590723,1.35138130968622,4.29928149177065,6.41157912687585,2.88693724420191,1.17641541609823,9.32384038199181,4.73328785811733,0.268763687039618,0.325144161460836,0.431017320326498,0.756161481787334,0.297195162915687,0.330424427689706,0.167287361845267,0.0740629505045651,0.0306943777030274,0.718885151369534,0.162542047092744,0.0452907256126862,0.00474531475252283,25.4021276595745,0.313847329385196,0.0123551591264798,5.36671504575389,0.161181975184824
